file,sha256,reviewed_status,evidence_and_reason,disposition,verification_state
Sailune/AbilityInspectorViews.swift,6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9,合理例外,"同一畫面或領域目錄的視圖集合；頂層宣告：AbilityDetailView, AbilityListContainerView",暫保留領域組合；若 callsite 審查證實跨職責重複，按既有 ID 提出分離。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/AbilityProgress.swift,055bd1ef7a6961e5ddc85a098162fad939b4ae21a92dd40f51748f80ab4ceeb1,合理例外,"版本化資料契約／修復專責；頂層宣告：AbilityProgressSchemaV1, AbilityLevel, CharacterAbilityConnection, CharacterAbilityHistory 等",保留 schema／遷移／修復佈局，除非有獨立相容性證據；不可為縮檔改資料。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/AppTheme.swift,5dc760cd502f88d290361912c154d4ea5623fcfd164fcaf65b7a95ac393e5b62,合理例外,"單一共用或純投影／匹配職責；頂層宣告：NSColor, Color, WorkspaceFloatingPanel, View",保持專責檔；對外呼叫在固定命中清單逐項審核。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/AuthorProfile.swift,b05e7dd7ca928155347fc3bb58940ad077bb5baa7f18ede4880847ddf18020ef,合理例外,單一領域模型／引擎或簡短封裝；頂層宣告：AuthorProfile,保留領域專責；不因行數或檔名強制抽象。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/AuthorSettingsView.swift,1ebb214c482d902ed0ec1804e18ec991feecb8d53b614f1915e40e784ef99c6e,合理例外,同一畫面或領域目錄的視圖集合；頂層宣告：AuthorSettingsView,暫保留領域組合；若 callsite 審查證實跨職責重複，按既有 ID 提出分離。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/BeliefPresets.swift,ed2cad0f8c1a715ea108b310a9334b423a1726a7aab1d909618f55aa9b258804,合理例外,"同一畫面或領域目錄的視圖集合；頂層宣告：BeliefPresetSection, BeliefPreset, BeliefPresetCatalogView, BeliefPresetDetailView",暫保留領域組合；若 callsite 審查證實跨職責重複，按既有 ID 提出分離。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/Book.swift,15e85d5e303a7a799f641979bee75325e816cbbebe0552c6b0616359c5228264,合理例外,"單一領域模型／引擎或簡短封裝；頂層宣告：BookStatus, Book",保留領域專責；不因行數或檔名強制抽象。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/BookCoverStore.swift,27765b91791dddbb0f0982d9f611799435d876d0497c9665fec76da5eaa21962,合理例外,同一資料或服務責任；頂層宣告：BookCoverStore,保留專責服務；錯誤出口及跨 Store 行為依固定 failure_path ID 核對。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/BookMapPDFStore.swift,28a69e1cc89daf090da868adee9a35db3d9001d87fdc3204d2cb1a336b458496,合理例外,同一資料或服務責任；頂層宣告：BookMapPDFStore,保留專責服務；錯誤出口及跨 Store 行為依固定 failure_path ID 核對。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/BookOutline.swift,9f1d63ac1207839691ec1593d8d6f1ceaa99d10781435cb7a0c15d6c6e4bf51f,合理例外,"版本化資料契約／修復專責；頂層宣告：StoryPlanningSchemaV2, StoryPlanningSchemaV3, StoryPlanningSchemaV4, StoryPlanningSchemaV5 等",保留 schema／遷移／修復佈局，除非有獨立相容性證據；不可為縮檔改資料。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/BookOverviewView.swift,c37a22b5090468e1600e69cf102123e78a599e1e22d217a5d1e860911ac7792a,合理例外,"同一畫面或領域目錄的視圖集合；頂層宣告：DragKind, OutlineRowID, DropInsertionSide, OutlineDropTarget, OutlineGestureRowModifier 等",暫保留領域組合；若 callsite 審查證實跨職責重複，按既有 ID 提出分離。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/BookStructure.swift,f93d53fce7aff2687954f86cf2b2f1cd0010a3d2cffc99db8e05e7ac5f799531,合理例外,單一領域模型／引擎或簡短封裝；頂層宣告：BookStructure,保留領域專責；不因行數或檔名強制抽象。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
Sailune/Character.swift,e036143288e67a905606b072e97b8da97c67e520bfe4c18ade274d5d4a2cadd5,合理例外,單一領域模型／引擎或簡短封裝；頂層宣告：Character,保留領域專責；不因行數或檔名強制抽象。,來源宣告與職責初審；相關行為仍依固定呼叫點驗收
