literal_or_template,occurrences,frozen_ids,review_note
重新命名,6,V9-0187 | V9-0659 | V9-0670 | V9-0918 | V9-0944 | V9-2019,同字面值；需核對是否同一操作，再決定共用文案 key
不選擇,5,V9-0092 | V9-0716 | V9-1320 | V9-1665 | V9-1908,同字面值；需核對是否同一操作，再決定共用文案 key
新增節,5,V9-0178 | V9-0189 | V9-0632 | V9-0661 | V9-0672,同字面值；需核對是否同一操作，再決定共用文案 key
選擇\(displayedPreset.title),4,V9-0094 | V9-1322 | V9-1667 | V9-1910,同字面值；需核對是否同一操作，再決定共用文案 key
建立,3,V9-0756 | V9-0914 | V9-1663,同字面值；需核對是否同一操作，再決定共用文案 key
新增事件,3,V9-0463 | V9-2084 | V9-2106,同字面值；需核對是否同一操作，再決定共用文案 key
新增卷,3,V9-0148 | V9-0180 | V9-0627,同字面值；需核對是否同一操作，再決定共用文案 key
新增大綱項目,3,V9-1200 | V9-1231 | V9-1249,同字面值；需核對是否同一操作，再決定共用文案 key
新增關係,3,V9-0456 | V9-0892 | V9-1531,同字面值；需核對是否同一操作，再決定共用文案 key
刪除副本,2,V9-0833 | V9-0837,同字面值；需核對是否同一操作，再決定共用文案 key
刪除卷,2,V9-0183 | V9-0664,同字面值；需核對是否同一操作，再決定共用文案 key
刪除地點,2,V9-1025 | V9-1377,同字面值；需核對是否同一操作，再決定共用文案 key
刪除故事線,2,V9-1164 | V9-1177,同字面值；需核對是否同一操作，再決定共用文案 key
刪除物品,2,V9-0791 | V9-0795,同字面值；需核對是否同一操作，再決定共用文案 key
刪除節,2,V9-0192 | V9-0675,同字面值；需核對是否同一操作，再決定共用文案 key
刪除階段,2,V9-1223 | V9-1239,同字面值；需核對是否同一操作，再決定共用文案 key
尚未建立故事線,2,V9-1113 | V9-1182,重複狀態文字，保留領域顯示
待安置,2,V9-1142 | V9-1282,重複狀態文字，保留領域顯示
復原,2,V9-0161 | V9-0652,同字面值；需核對是否同一操作，再決定共用文案 key
新增副本,2,V9-0788 | V9-0804,同字面值；需核對是否同一操作，再決定共用文案 key
新增歷史,2,V9-0258 | V9-0852,同字面值；需核對是否同一操作，再決定共用文案 key
新增第一節,2,V9-0171 | V9-0639,同字面值；需核對是否同一操作，再決定共用文案 key
新增等級,2,V9-0030 | V9-0860,同字面值；需核對是否同一操作，再決定共用文案 key
未分階段,2,V9-1246 | V9-1277,重複狀態文字，保留領域顯示
管理層級,2,V9-1429 | V9-1478,同字面值；需核對是否同一操作，再決定共用文案 key
編輯紀元,2,V9-2065 | V9-2090,同字面值；需核對是否同一操作，再決定共用文案 key
返回,2,V9-0002 | V9-0773,同字面值；需核對是否同一操作，再決定共用文案 key
