id,reviewed_status,evidence_and_disposition,work_item,verification_state
V9-0001,合理例外,此原生 Button 以 Label 同時提供文字與語意圖標，保留導覽／新增／刪除的領域 action；文案及圖標各有固定 ID 共用或例外，ButtonStyle 和實際命中仍獨立驗收。,docs/work-items/v9-frozen-inventory.md,來源 Label 按鈕已核對；位置／hit-test／鍵盤／Light／Dark 待驗收
V9-0002,已共用,"V9.1ao 已依凍結 ID 將原操作標題接至 SailuneActionCopy，原繁體中文值、closure、role、style 及圖標不變；現行來源：HStack { Button(action: onBack) { Label(SailuneActionCopy.back, systemImage: SailuneSymbol.back.systemName) }.buttonStyle(.plain); Spacer() }",docs/work-items/v9.1ao-repeated-action-copy.md,65 個固定 ID 靜態核對、String Catalog JSON 及主機無簽章 Debug build 通過；GUI／VoiceOver 待驗收
V9-0003,已共用,來源已讀取 SailuneSymbol 語意 key；同功能字形是否一致依集中表與畫面驗收。,docs/work-items/v9-frozen-inventory.md,來源語意已複核；字形與輔助功能畫面驗收待完成
V9-0004,待共用,原生 .plain 樣式常見於圖標／整列控制；需與對應 Button ID 一起核對角色、28 pt 命中及是否需具名共用 variant。,docs/work-items/v9-frozen-inventory.md,來源 style 已核對；實際 hit-test／Light／Dark 待驗收
V9-0005,已共用,V9.1av 已把原色值來源改讀 SailuneTheme.controlSurface，保留原 shape、opacity 與層級；雙重 regex ID 指向同一色值表達式時共同標記。,docs/work-items/v9.1av-frozen-surfaces.md,21 個現行來源、原色值、無簽章 macOS Debug build 與 git diff --check 通過；Light／Dark／hover 實際畫面待驗收
V9-0006,合理例外,目前固定清單中僅此處使用的領域文案「能力設定」；沒有同功能重複證據，保留具名畫面語境。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0007,已共用,來源已讀取 SailuneSymbol 語意 key；同功能字形是否一致依集中表與畫面驗收。,docs/work-items/v9-frozen-inventory.md,來源語意已複核；字形與輔助功能畫面驗收待完成
V9-0008,已共用,來源已引用共用單行／搜尋欄位或位於其實作；原 Binding 與外層行為仍須依畫面核對。,docs/work-items/v9-frozen-inventory.md,來源分類已複核；具體 UI／資料驗收待完成
V9-0009,合理例外,畫面標題、欄位名稱或領域狀態的靜態文字；不是 Button／Menu 操作命令。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0010,合理例外,"來源以 SwiftUI 原生 Button 的標題參數承載文字或文字加圖標；保留原生角色／焦點／可用狀態，文案與圖標分別由固定 copy／symbol ID 審核，不為此控制另造相同 Button 外殼。來源：Button(name.isEmpty ? ""未命名角色"" : name) { onOpenCharacter(character) }",docs/work-items/v9-frozen-inventory.md,來源原生標題按鈕已核對；位置／實際 hit-test／鍵盤與 Light／Dark 待驗收
V9-0011,合理例外,採 macOS 原生 .link 樣式，保留平台語意；此例外只涵蓋 style，按鈕位置／命中與操作文案仍依對應 Button ID 驗收。,docs/work-items/v9-frozen-inventory.md,來源 style 已核對；實際 hit-test／Light／Dark 待驗收
V9-0012,合理例外,目前固定清單中僅此處使用的領域文案「連接角色」；沒有同功能重複證據，保留具名畫面語境。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0013,合理例外,"來源以 SwiftUI 原生 Button 的標題參數承載文字或文字加圖標；保留原生角色／焦點／可用狀態，文案與圖標分別由固定 copy／symbol ID 審核，不為此控制另造相同 Button 外殼。來源：Button(character.realName.isEmpty ? ""未命名角色"" : character.realName) {",docs/work-items/v9-frozen-inventory.md,來源原生標題按鈕已核對；位置／實際 hit-test／鍵盤與 Light／Dark 待驗收
V9-0014,待共用,原生 .borderless 樣式常見於圖標／整列控制；需與對應 Button ID 一起核對角色、28 pt 命中及是否需具名共用 variant。,docs/work-items/v9-frozen-inventory.md,來源 style 已核對；實際 hit-test／Light／Dark 待驗收
V9-0015,合理例外,"來源以 SwiftUI 原生 Button 的標題參數承載文字或文字加圖標；保留原生角色／焦點／可用狀態，文案與圖標分別由固定 copy／symbol ID 審核，不為此控制另造相同 Button 外殼。來源：Button(""刪除能力"", systemImage: SailuneSymbol.delete.systemName, role: .destructive) { deleteAbility() }",docs/work-items/v9-frozen-inventory.md,來源原生標題按鈕已核對；位置／實際 hit-test／鍵盤與 Light／Dark 待驗收
V9-0016,合理例外,目前固定清單中僅此處使用的領域文案「刪除能力」；沒有同功能重複證據，保留具名畫面語境。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0017,已共用,來源已讀取 SailuneSymbol 語意 key；同功能字形是否一致依集中表與畫面驗收。,docs/work-items/v9-frozen-inventory.md,來源語意已複核；字形與輔助功能畫面驗收待完成
V9-0018,合理例外,畫面標題、欄位名稱或領域狀態的靜態文字；不是 Button／Menu 操作命令。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0019,合理例外,畫面標題、欄位名稱或領域狀態的靜態文字；不是 Button／Menu 操作命令。,docs/work-items/v9-frozen-inventory.md,字面值／重複群已核對；實際文案與輔助描述待畫面驗收
V9-0020,已共用,來源已引用共用單行／搜尋欄位或位於其實作；原 Binding 與外層行為仍須依畫面核對。,docs/work-items/v9-frozen-inventory.md,來源分類已複核；具體 UI／資料驗收待完成
V9-0021,待共用,純圖標或 iconOnly 按鈕候選；依凍結位置核對 28 pt 命中、間距、help／accessibility、原 action 及禁用條件。 凍結來源：Button(role: .destructive) { abilityStore.deleteAbilityLevel(level) } label: { Image(systemName: SailuneSymbol.delete.systemName) }.buttonStyle(.plain,docs/work-items/v9-frozen-inventory.md,來源按鈕型態已列；實際命中／鍵盤／Light／Dark 待驗收
V9-0022,已共用,來源已讀取 SailuneSymbol 語意 key；同功能字形是否一致依集中表與畫面驗收。,docs/work-items/v9-frozen-inventory.md,來源語意已複核；字形與輔助功能畫面驗收待完成
V9-0023,待共用,原生 .plain 樣式常見於圖標／整列控制；需與對應 Button ID 一起核對角色、28 pt 命中及是否需具名共用 variant。,docs/work-items/v9-frozen-inventory.md,來源 style 已核對；實際 hit-test／Light／Dark 待驗收
V9-0024,已共用,來源已引用共用單行／搜尋欄位或位於其實作；原 Binding 與外層行為仍須依畫面核對。,docs/work-items/v9-frozen-inventory.md,來源分類已複核；具體 UI／資料驗收待完成
V9-0025,已共用,來源已引用共用單行／搜尋欄位或位於其實作；原 Binding 與外層行為仍須依畫面核對。,docs/work-items/v9-frozen-inventory.md,來源分類已複核；具體 UI／資料驗收待完成
V9-0026,已共用,來源已引用共用單行／搜尋欄位或位於其實作；原 Binding 與外層行為仍須依畫面核對。,docs/work-items/v9-frozen-inventory.md,來源分類已複核；具體 UI／資料驗收待完成
V9-0027,已共用,"背景引用已命名的 theme／AppTheme 色彩來源；用途與 Light／Dark 對照仍需畫面驗收。 凍結來源：.padding(8).background(SailuneTheme.subtleSurface, in: RoundedRectangle(cornerRadius: 7))",docs/work-items/v9-frozen-inventory.md,來源色彩用途已分類；Light／Dark 與 hit-testing 待驗收
