file,sha256,lines,top_level_declarations,status,evidence_or_reason
Sailune/AbilityInspectorViews.swift,6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9,242,AbilityDetailView | AbilityListContainerView,合理例外,具名領域檔；暫保留領域責任，需與逐項清單核對是否有重複操作外殼。
Sailune/AbilityProgress.swift,055bd1ef7a6961e5ddc85a098162fad939b4ae21a92dd40f51748f80ab4ceeb1,228,AbilityProgressSchemaV1 | AbilityLevel | CharacterAbilityConnection | CharacterAbilityHistory | AbilityBookLink | AbilityProgressStore,合理例外,具名領域檔；暫保留領域責任，需與逐項清單核對是否有重複操作外殼。
Sailune/AppTheme.swift,5dc760cd502f88d290361912c154d4ea5623fcfd164fcaf65b7a95ac393e5b62,42,NSColor | Color | WorkspaceFloatingPanel | View,合理例外,具名領域檔；暫保留領域責任，需與逐項清單核對是否有重複操作外殼。
Sailune/AuthorProfile.swift,b05e7dd7ca928155347fc3bb58940ad077bb5baa7f18ede4880847ddf18020ef,29,AuthorProfile,合理例外,具名領域檔；暫保留領域責任，需與逐項清單核對是否有重複操作外殼。
Sailune/AuthorSettingsView.swift,1ebb214c482d902ed0ec1804e18ec991feecb8d53b614f1915e40e784ef99c6e,237,AuthorSettingsView,合理例外,具名領域檔；暫保留領域責任，需與逐項清單核對是否有重複操作外殼。
Sailune/BeliefPresets.swift,ed2cad0f8c1a715ea108b310a9334b423a1726a7aab1d909618f55aa9b258804,368,BeliefPresetSection | BeliefPreset | BeliefPresetCatalogView | BeliefPresetDetailView,合理例外,具名領域檔；暫保留領域責任，需與逐項清單核對是否有重複操作外殼。
Sailune/Book.swift,15e85d5e303a7a799f641979bee75325e816cbbebe0552c6b0616359c5228264,57,BookStatus | Book,合理例外,具名領域檔；暫保留領域責任，需與逐項清單核對是否有重複操作外殼。
Sailune/BookCoverStore.swift,27765b91791dddbb0f0982d9f611799435d876d0497c9665fec76da5eaa21962,187,BookCoverStore,合理例外,具名領域檔；暫保留領域責任，需與逐項清單核對是否有重複操作外殼。
Sailune/BookMapPDFStore.swift,28a69e1cc89daf090da868adee9a35db3d9001d87fdc3204d2cb1a336b458496,149,BookMapPDFStore,合理例外,具名領域檔；暫保留領域責任，需與逐項清單核對是否有重複操作外殼。
Sailune/BookOutline.swift,9f1d63ac1207839691ec1593d8d6f1ceaa99d10781435cb7a0c15d6c6e4bf51f,688,StoryPlanningSchemaV2 | StoryPlanningSchemaV3 | StoryPlanningSchemaV4 | StoryPlanningSchemaV5 | StoryPlanningSchemaV6 | StoryPlanningSchemaV7 | StoryPlanningMigrationPlan | PlanningRecordSourceKind | PlanningRecordMetadata | TimelineExcerptMode | TimelineEventCardMetadata | OutlineStoryLineKind | OutlineItemStatus | OutlineItemPlacementKind | OutlineStageStartLocation | OutlineStageStartGranularity | ProseStructureScene | ProseStructureParser | OutlineTimelineLayout | NarrativeOutlineList | StoryBackgroundContent | BookPlanningProfile | OutlineStoryLine | OutlineStage | OutlineItem | OutlineItemAnchor | OutlineStageStartAnchor | OutlineStageStartDetail | OutlineItemPlacement,合理例外,具名領域檔；暫保留領域責任，需與逐項清單核對是否有重複操作外殼。
Sailune/BookOverviewView.swift,c37a22b5090468e1600e69cf102123e78a599e1e22d217a5d1e860911ac7792a,777,DragKind | OutlineRowID | DropInsertionSide | OutlineDropTarget | OutlineGestureRowModifier | View | DeleteTarget | BookOverviewView | BookInfoPanel | VolumeSectionTreeView,合理例外,具名領域檔；暫保留領域責任，需與逐項清單核對是否有重複操作外殼。
Sailune/BookStructure.swift,f93d53fce7aff2687954f86cf2b2f1cd0010a3d2cffc99db8e05e7ac5f799531,44,BookStructure,合理例外,具名領域檔；暫保留領域責任，需與逐項清單核對是否有重複操作外殼。
Sailune/Character.swift,e036143288e67a905606b072e97b8da97c67e520bfe4c18ade274d5d4a2cadd5,48,Character,合理例外,具名領域檔；暫保留領域責任，需與逐項清單核對是否有重複操作外殼。
Sailune/CharacterDetailPreviewOrdering.swift,4668c15a0917ef065113764a2afff5684c30adfc10a8fca20f0be30ba56e02c0,29,CharacterDetailPreviewOrdering,合理例外,具名領域檔；暫保留領域責任，需與逐項清單核對是否有重複操作外殼。
Sailune/CharacterDetails.swift,355b925d842de670d2b64c46917548210a2055bde4871118ccfeac3e5efc7b0d,322,CharacterProfile | CharacterAlias | Organization | CharacterOrganization | OrganizationIdentityHistory | CharacterAbility | AbilityStageHistory | CharacterAppearanceKind | CharacterAppearance | CharacterPsychologyKind | CharacterPsychology | CharacterItem | CharacterItemHistory | CharacterRelationship | RelationshipHistory | CharacterSummary,合理例外,具名領域檔；暫保留領域責任，需與逐項清單核對是否有重複操作外殼。
Sailune/CharacterHistoryViews.swift,56d6e74db71d1f38bec544e5cd1377ee3ef4a4857210d7e3dc6c598330fbc43d,698,CharacterTimelinePlacementEditor | CharacterNarrativePlacementSheet | CharacterTimelineDateSheet | CharacterNodePicker | CharacterTimestampEditorSheet | AbilityHistoryEditor | AbilityHistoryRow | ItemHistoryEditor | ItemUnifiedHistoryEditor | ItemUnifiedHistoryRow | ItemHistoryRow | RelationshipHistoryEditor | RelationshipHistoryRow,合理例外,具名領域檔；暫保留領域責任，需與逐項清單核對是否有重複操作外殼。
Sailune/CharacterInspectorViews.swift,53392d39232ca4f3fa1347889338df8880f5a6dbf8f71c7e1dd8f25a04650f0a,1024,CharacterListContainerView | CharacterListView | CharacterRow | CharacterDetailView | CharacterPowerMembershipSection | CharacterReferenceSectionsView | StaticCharacterDetailSection | CollapsibleDetailSection | BirthDatePickerSection,待共用,大型領域檔；須逐宣告確認責任邊界、資料依賴與安全拆分，不以行數直接判定可搬移。
Sailune/CharacterReferenceSynchronizer.swift,f88ce55de3043629207e82f4028a7826d1e509414c8ee3ffdefdef1d8a00ed29,206,CharacterReferenceSynchronizer | UnlinkedReferenceCandidate,合理例外,具名領域檔；暫保留領域責任，需與逐項清單核對是否有重複操作外殼。
Sailune/CharacterSectionViews.swift,58eec14ec8af957b5454c1847c579a59be5ab3a007273981dd7c44f45952277b,966,CharacterSummarySectionView | CharacterSectionEmptyState | CharacterAliasSectionView | AliasRow | CharacterAbilitySectionView | CharacterAbilityConnectionRow | CharacterAbilityTimelineEditor | CharacterAppearanceSectionView | AppearanceRow | CharacterPsychologySectionView | PsychologyRow | CharacterItemSectionView | ItemCopyCharacterRow | CharacterRelationshipSectionView | RelationshipRow | CharacterTimelineProjection | CharacterTimelineProjectionBuilder | CharacterEventSectionView | CharacterEventRow,待共用,大型領域檔；須逐宣告確認責任邊界、資料依賴與安全拆分，不以行數直接判定可搬移。
Sailune/CharacterTimelineProjectionView.swift,fa8e28c540f43f632bb45afbd3eb884bd50733ce627ac426ab587b43ba759cd7,211,CharacterTimelineProjectionView | EventProjectionRow,合理例外,具名領域檔；暫保留領域責任，需與逐項清單核對是否有重複操作外殼。
