id,family,file,line,column,match,status,evidence_or_reason,source_line,file_sha256
V9-0001,button,Sailune/AbilityInspectorViews.swift,23,22,Button(,待共用,原生 Button；須按動作角色、位置、命中與資料 action 判定共用外殼或具名例外。,"HStack { Button(action: onBack) { Label(""返回"", systemImage: SailuneSymbol.back.systemName) }.buttonStyle(.plain); Spacer() }",6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0002,copy,Sailune/AbilityInspectorViews.swift,23,47,"Label(""",待共用,直接 Button／Label／Menu 文案；需與同功能操作名稱及例外對照。,"HStack { Button(action: onBack) { Label(""返回"", systemImage: SailuneSymbol.back.systemName) }.buttonStyle(.plain); Spacer() }",6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0003,symbol,Sailune/AbilityInspectorViews.swift,23,72,SailuneSymbol.back,已共用,使用或定義語意圖標 key；原字形由集中表提供。,"HStack { Button(action: onBack) { Label(""返回"", systemImage: SailuneSymbol.back.systemName) }.buttonStyle(.plain); Spacer() }",6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0004,button_style,Sailune/AbilityInspectorViews.swift,23,104,.buttonStyle(,待共用,原生樣式；需與同語意按鈕比對，不能只按 style 名稱批量替換。,"HStack { Button(action: onBack) { Label(""返回"", systemImage: SailuneSymbol.back.systemName) }.buttonStyle(.plain); Spacer() }",6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0005,surface,Sailune/AbilityInspectorViews.swift,24,64,.background(,待共用,直接背景或色值；需判定表面用途與既有 token 是否相同。,".padding(.horizontal, 12).padding(.vertical, 8).background(Color(nsColor: .controlBackgroundColor))",6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0006,copy,Sailune/AbilityInspectorViews.swift,27,21,"Label(""",待共用,直接 Button／Label／Menu 文案；需與同功能操作名稱及例外對照。,"Label(""能力設定"", systemImage: SailuneSymbol.ability.systemName).font(.headline)",6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0007,symbol,Sailune/AbilityInspectorViews.swift,27,48,SailuneSymbol.ability,已共用,使用或定義語意圖標 key；原字形由集中表提供。,"Label(""能力設定"", systemImage: SailuneSymbol.ability.systemName).font(.headline)",6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0008,field,Sailune/AbilityInspectorViews.swift,28,40,SailuneFormTextField(,已共用,引用或定義共用欄位；焦點、組字及內距仍需代表畫面驗收。,"GroupBox(""能力名稱"") { SailuneFormTextField(title: ""名稱"", text: $ability.name) }",6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0009,copy,Sailune/AbilityInspectorViews.swift,32,54,"Text(""",合理例外,靜態欄名或領域內容；非可執行操作文案，保留畫面語境。,"if connections.isEmpty { Text(""尚未連接角色；請到角色詳細資料連接能力。"").font(.caption).foregroundStyle(.secondary) }",6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0010,button,Sailune/AbilityInspectorViews.swift,38,41,Button(,待共用,原生 Button；須按動作角色、位置、命中與資料 action 判定共用外殼或具名例外。,"Button(name.isEmpty ? ""未命名角色"" : name) { onOpenCharacter(character) }",6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0011,button_style,Sailune/AbilityInspectorViews.swift,39,45,.buttonStyle(,待共用,原生樣式；需與同語意按鈕比對，不能只按 style 名稱批量替換。,.buttonStyle(.link),6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0012,copy,Sailune/AbilityInspectorViews.swift,44,29,"Menu(""",待共用,直接 Button／Label／Menu 文案；需與同功能操作名稱及例外對照。,"Menu(""連接角色"") {",6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0013,button,Sailune/AbilityInspectorViews.swift,47,37,Button(,待共用,原生 Button；須按動作角色、位置、命中與資料 action 判定共用外殼或具名例外。,"Button(character.realName.isEmpty ? ""未命名角色"" : character.realName) {",6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0014,button_style,Sailune/AbilityInspectorViews.swift,52,29,.buttonStyle(,待共用,原生樣式；需與同語意按鈕比對，不能只按 style 名稱批量替換。,.buttonStyle(.borderless),6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0015,button,Sailune/AbilityInspectorViews.swift,55,21,Button(,待共用,原生 Button；須按動作角色、位置、命中與資料 action 判定共用外殼或具名例外。,"Button(""刪除能力"", systemImage: SailuneSymbol.delete.systemName, role: .destructive) { deleteAbility() }",6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0016,copy,Sailune/AbilityInspectorViews.swift,55,21,"Button(""",待共用,直接 Button／Label／Menu 文案；需與同功能操作名稱及例外對照。,"Button(""刪除能力"", systemImage: SailuneSymbol.delete.systemName, role: .destructive) { deleteAbility() }",6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0017,symbol,Sailune/AbilityInspectorViews.swift,55,49,SailuneSymbol.delete,已共用,使用或定義語意圖標 key；原字形由集中表提供。,"Button(""刪除能力"", systemImage: SailuneSymbol.delete.systemName, role: .destructive) { deleteAbility() }",6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0018,copy,Sailune/AbilityInspectorViews.swift,67,37,"Text(""",合理例外,靜態欄名或領域內容；非可執行操作文案，保留畫面語境。,"if levels.isEmpty { Text(""尚未建立等級"").font(.caption).foregroundStyle(.secondary) }",6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0019,copy,Sailune/AbilityInspectorViews.swift,72,29,"Text(""",合理例外,靜態欄名或領域內容；非可執行操作文案，保留畫面語境。,"Text(""\(String(format: ""%02d"", index + 1))"").monospacedDigit().foregroundStyle(.secondary)",6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0020,field,Sailune/AbilityInspectorViews.swift,73,29,SailuneFormTextField(,已共用,引用或定義共用欄位；焦點、組字及內距仍需代表畫面驗收。,"SailuneFormTextField(title: ""等級名稱"", text: $level.name)",6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0021,button,Sailune/AbilityInspectorViews.swift,74,29,Button(,待共用,原生 Button；須按動作角色、位置、命中與資料 action 判定共用外殼或具名例外。,Button(role: .destructive) { abilityStore.deleteAbilityLevel(level) } label: { Image(systemName: SailuneSymbol.delete.systemName) }.buttonStyle(.plain),6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0022,symbol,Sailune/AbilityInspectorViews.swift,74,126,SailuneSymbol.delete,已共用,使用或定義語意圖標 key；原字形由集中表提供。,Button(role: .destructive) { abilityStore.deleteAbilityLevel(level) } label: { Image(systemName: SailuneSymbol.delete.systemName) }.buttonStyle(.plain),6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0023,button_style,Sailune/AbilityInspectorViews.swift,74,160,.buttonStyle(,待共用,原生樣式；需與同語意按鈕比對，不能只按 style 名稱批量替換。,Button(role: .destructive) { abilityStore.deleteAbilityLevel(level) } label: { Image(systemName: SailuneSymbol.delete.systemName) }.buttonStyle(.plain),6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0024,field,Sailune/AbilityInspectorViews.swift,76,25,SailuneFormTextField(,已共用,引用或定義共用欄位；焦點、組字及內距仍需代表畫面驗收。,"SailuneFormTextField(title: ""能力描述"", text: $level.descriptionText)",6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0025,field,Sailune/AbilityInspectorViews.swift,77,25,SailuneFormTextField(,已共用,引用或定義共用欄位；焦點、組字及內距仍需代表畫面驗收。,"SailuneFormTextField(title: ""代價"", text: $level.cost)",6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0026,field,Sailune/AbilityInspectorViews.swift,78,25,SailuneFormTextField(,已共用,引用或定義共用欄位；焦點、組字及內距仍需代表畫面驗收。,"SailuneFormTextField(title: ""其他"", text: $level.note)",6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0027,surface,Sailune/AbilityInspectorViews.swift,80,32,.background(,待共用,直接背景或色值；需判定表面用途與既有 token 是否相同。,".padding(8).background(SailuneTheme.subtleSurface, in: RoundedRectangle(cornerRadius: 7))",6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0028,surface,Sailune/AbilityInspectorViews.swift,80,44,SailuneTheme.,已共用,引用或定義語意色彩 token；形狀與疊層仍需檢查。,".padding(8).background(SailuneTheme.subtleSurface, in: RoundedRectangle(cornerRadius: 7))",6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0029,button,Sailune/AbilityInspectorViews.swift,86,17,Button(,待共用,原生 Button；須按動作角色、位置、命中與資料 action 判定共用外殼或具名例外。,"Button(""新增等級"", systemImage: SailuneSymbol.add.systemName) {",6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0030,copy,Sailune/AbilityInspectorViews.swift,86,17,"Button(""",待共用,直接 Button／Label／Menu 文案；需與同功能操作名稱及例外對照。,"Button(""新增等級"", systemImage: SailuneSymbol.add.systemName) {",6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0031,symbol,Sailune/AbilityInspectorViews.swift,86,45,SailuneSymbol.add,已共用,使用或定義語意圖標 key；原字形由集中表提供。,"Button(""新增等級"", systemImage: SailuneSymbol.add.systemName) {",6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0032,button_style,Sailune/AbilityInspectorViews.swift,88,18,.buttonStyle(,待共用,原生樣式；需與同語意按鈕比對，不能只按 style 名稱批量替換。,}.buttonStyle(.borderless),6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0033,failure_path,Sailune/AbilityInspectorViews.swift,108,11,catch,待共用,失敗分支或可選錯誤；需核對主要結果、次要錯誤記錄與恢復契約。,} catch {,6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
V9-0034,field,Sailune/AbilityInspectorViews.swift,163,13,SailuneSearchField(,已共用,引用或定義共用欄位；焦點、組字及內距仍需代表畫面驗收。,"SailuneSearchField(placeholder: ""搜尋能力"", text: $searchText)",6bbaa80faa91df903b6a2edb4d6d578ee5591b080c5b12e7c8569837f59ce1c9
